condition,task,disturbance,episode,seed,success,disturbance_fired,recovered,steps,total_reward,trigger_step,final_can_x,final_can_y,final_can_z,training_seed,budget
more_demos,can,object_shift,2,400029,False,True,False,260,5.124852715452879,14.0,0.0877311155200004,-0.1696104258298874,0.843644917011261,27,500
more_demos,can,object_shift,3,400030,False,True,False,260,5.357939727816408,14.0,0.0333030261099338,-0.0616535246372222,0.8436582088470459,27,500
more_demos,can,object_shift,4,400031,True,True,True,154,52.57233369953631,14.0,0.1902201771736145,0.4030622243881225,0.8642604947090149,27,500
more_demos,can,object_shift,5,400032,False,True,False,260,5.84674751166255,14.0,0.0329938828945159,-0.1329603344202041,0.8436461091041565,27,500
more_demos,can,object_shift,6,400033,True,True,True,120,37.429927713919845,14.0,0.2003250867128372,0.3737113177776336,0.881746768951416,27,500
more_demos,can,object_shift,7,400034,True,True,True,132,44.426814688671314,14.0,0.1831666231155395,0.3989307880401611,0.8603044748306274,27,500
more_demos,can,action_noise,0,400027,True,True,True,109,42.90947642029989,8.0,0.1811866015195846,0.3696508109569549,0.8611599206924438,27,500
more_demos,can,action_noise,1,400028,True,True,True,111,40.570393341465255,8.0,0.1543971449136734,0.4030497670173645,0.8601133823394775,27,500
more_demos,can,action_noise,2,400029,True,True,True,131,41.98494993256534,8.0,0.1770085394382476,0.3736442029476166,0.8832383155822754,27,500
more_demos,can,action_noise,3,400030,True,True,True,74,20.238257945174738,8.0,0.1827432960271835,0.3409227430820465,0.8881285190582275,27,500
more_demos,can,action_noise,4,400031,True,True,True,137,43.76603339009416,8.0,0.1812010258436203,0.3835824429988861,0.8861467242240906,27,500
more_demos,can,action_noise,5,400032,True,True,True,87,30.651648886940293,8.0,0.1793117821216583,0.3772937655448913,0.8618661165237427,27,500
more_demos,can,action_noise,6,400033,True,True,True,127,42.19826295321471,8.0,0.1906511038541793,0.3594679534435272,0.8780198097229004,27,500
more_demos,can,action_noise,7,400034,True,True,True,122,43.17531731112096,8.0,0.1980599164962768,0.3815689980983734,0.8614410758018494,27,500
more_demos,can,action_delay,0,400027,True,True,True,194,89.24876414490022,3.0,0.1396141350269317,0.4399918615818023,0.8984826803207397,27,500
more_demos,can,action_delay,1,400028,False,True,False,260,19.271641991421667,5.0,0.161030039191246,0.0947381183505058,0.8600573539733887,27,500
more_demos,can,action_delay,2,400029,False,True,False,260,2.4214978591194383,5.0,0.0952975824475288,-0.2779475450515747,0.8436853885650635,27,500
more_demos,can,action_delay,3,400030,True,True,True,256,48.15020571689143,3.0,0.143158882856369,0.4668275415897369,0.8871097564697266,27,500
more_demos,can,action_delay,4,400031,False,True,False,260,4.545693703654711,3.0,-0.0255482997745275,-0.3485825657844543,0.8436378836631775,27,500
more_demos,can,action_delay,5,400032,True,True,True,141,54.969573280762866,3.0,0.2296489775180816,0.438963234424591,0.895866334438324,27,500
more_demos,can,action_delay,6,400033,True,True,True,177,56.555223738437206,5.0,0.1782541871070861,0.4005573987960815,0.8772304654121399,27,500
more_demos,can,action_delay,7,400034,False,True,False,260,4.3200647207061404,5.0,-0.0474715791642665,-0.2591902613639831,0.8436996936798096,27,500
more_demos,can,gripper_slip,0,400027,False,True,False,260,14.624484704250694,44.0,0.045133963227272,-0.2043958604335785,0.8437741994857788,27,500
more_demos,can,gripper_slip,1,400028,False,True,False,260,11.587810376381343,44.0,0.1673485338687896,-0.099111184477806,0.8600558638572693,27,500
more_demos,can,gripper_slip,2,400029,False,True,False,260,12.921273513660962,62.0,0.1604987680912017,-0.2761769294738769,0.8600473403930664,27,500
more_demos,can,gripper_slip,3,400030,False,True,False,260,14.483413567230906,42.0,0.0117783676832914,-0.0865784138441085,0.8436784744262695,27,500
more_demos,can,gripper_slip,4,400031,False,True,False,260,24.33313567084991,57.0,0.1175488010048866,0.0139130717143416,0.9246891736984252,27,500
more_demos,can,gripper_slip,5,400032,False,True,False,260,12.62873556068942,41.0,0.0155344679951667,-0.1247732639312744,0.8436840772628784,27,500
more_demos,can,gripper_slip,6,400033,False,True,False,260,11.419418669736569,51.0,0.0932383760809898,-0.2531913518905639,0.8436422348022461,27,500
