logging_scheme,logging_seed,logged_episodes,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
uncertainty_selective,401,60,0.1,0.49583333333333335,0.1,0.4583333333333333,0.6504058979606461,0.645070061996802
uncertainty_selective,401,60,0.25,0.5958333333333333,0.25,0.5833333333333334,0.6504058979606461,0.645070061996802
uncertainty_selective,401,60,0.5,0.7291666666666666,0.5,0.5583333333333333,0.6504058979606461,0.645070061996802
uncertainty_selective,401,60,0.75,0.8875,0.75,0.5888888888888889,0.6504058979606461,0.645070061996802
uncertainty_selective,401,120,0.1,0.5,0.1,0.5,0.6466100960165101,0.6584302325581395
uncertainty_selective,401,120,0.25,0.6,0.25,0.6,0.6466100960165101,0.6584302325581395
uncertainty_selective,401,120,0.5,0.7375,0.5,0.5833333333333334,0.6466100960165101,0.6584302325581395
uncertainty_selective,401,120,0.75,0.85,0.75,0.5444444444444444,0.6466100960165101,0.6584302325581395
uncertainty_selective,401,180,0.1,0.5041666666666667,0.1,0.5416666666666666,0.6120218868531955,0.7111538137851713
uncertainty_selective,401,180,0.25,0.6083333333333333,0.25,0.6333333333333333,0.6120218868531955,0.7111538137851713
uncertainty_selective,401,180,0.5,0.7583333333333333,0.5,0.625,0.6120218868531955,0.7111538137851713
uncertainty_selective,401,180,0.75,0.875,0.75,0.5722222222222222,0.6120218868531955,0.7111538137851713
uncertainty_selective,401,240,0.1,0.5083333333333333,0.1,0.5833333333333334,0.6054530169579784,0.7280626700704127
uncertainty_selective,401,240,0.25,0.6125,0.25,0.6666666666666666,0.6054530169579784,0.7280626700704127
uncertainty_selective,401,240,0.5,0.7291666666666666,0.5,0.5666666666666667,0.6054530169579784,0.7280626700704127
