held_out_axis,held_out_value,logging_seed,method,target_budget,success_rate,intervention_rate,request_precision,pehe,helpful_auroc
disturbance,gripper_slip,101,dr_learner,0.25,0.2708333333333333,0.25,0.9166666666666666,0.7854870894160731,0.4773517998126589
disturbance,gripper_slip,101,dr_learner,0.5,0.5,0.5,0.9166666666666666,0.7854870894160731,0.4773517998126589
disturbance,gripper_slip,101,dr_learner,0.75,0.7291666666666666,0.75,0.9166666666666666,0.7854870894160731,0.4773517998126589
disturbance,gripper_slip,101,reversibility_proxy,0.1,0.125,0.10416666666666667,0.8,0.5772086750395179,0.4947143048307239
disturbance,gripper_slip,101,reversibility_proxy,0.25,0.2708333333333333,0.25,0.9166666666666666,0.5772086750395179,0.4947143048307239
disturbance,gripper_slip,101,reversibility_proxy,0.5,0.4791666666666667,0.5,0.875,0.5772086750395179,0.4947143048307239
disturbance,gripper_slip,101,reversibility_proxy,0.75,0.6666666666666666,0.75,0.8333333333333334,0.5772086750395179,0.4947143048307239
disturbance,gripper_slip,211,dr_learner,0.1,0.14583333333333334,0.10416666666666667,1.0,0.7010517861071817,0.581727552522414
disturbance,gripper_slip,211,dr_learner,0.25,0.2916666666666667,0.25,1.0,0.7010517861071817,0.581727552522414
disturbance,gripper_slip,211,dr_learner,0.5,0.5208333333333334,0.5,0.9583333333333334,0.7010517861071817,0.581727552522414
disturbance,gripper_slip,211,dr_learner,0.75,0.75,0.75,0.9444444444444444,0.7010517861071817,0.581727552522414
disturbance,gripper_slip,211,reversibility_proxy,0.1,0.14583333333333334,0.10416666666666667,1.0,0.5647609699785676,0.5211427806771043
disturbance,gripper_slip,211,reversibility_proxy,0.25,0.2916666666666667,0.25,1.0,0.5647609699785676,0.5211427806771043
disturbance,gripper_slip,211,reversibility_proxy,0.5,0.5208333333333334,0.5,0.9583333333333334,0.5647609699785676,0.5211427806771043
disturbance,gripper_slip,211,reversibility_proxy,0.75,0.7291666666666666,0.75,0.9166666666666666,0.5647609699785676,0.5211427806771043
disturbance,gripper_slip,307,dr_learner,0.1,0.125,0.10416666666666667,0.8,0.749605969668154,0.49324233908738124
disturbance,gripper_slip,307,dr_learner,0.25,0.25,0.25,0.8333333333333334,0.749605969668154,0.49324233908738124
disturbance,gripper_slip,307,dr_learner,0.5,0.4791666666666667,0.5,0.875,0.749605969668154,0.49324233908738124
disturbance,gripper_slip,307,dr_learner,0.75,0.6875,0.75,0.8611111111111112,0.749605969668154,0.49324233908738124
disturbance,gripper_slip,307,reversibility_proxy,0.1,0.0625,0.10416666666666667,0.2,0.5325387410844695,0.4382443463133949
disturbance,gripper_slip,307,reversibility_proxy,0.25,0.16666666666666666,0.25,0.5,0.5325387410844695,0.4382443463133949
disturbance,gripper_slip,307,reversibility_proxy,0.5,0.4166666666666667,0.5,0.75,0.5325387410844695,0.4382443463133949
disturbance,gripper_slip,307,reversibility_proxy,0.75,0.6666666666666666,0.75,0.8333333333333334,0.5325387410844695,0.4382443463133949
disturbance,nominal,101,dr_learner,0.1,0.9166666666666666,0.10416666666666667,0.4,0.6483271542125701,0.7742165242165242
disturbance,nominal,101,dr_learner,0.25,0.9583333333333334,0.25,0.3333333333333333,0.6483271542125701,0.7742165242165242
disturbance,nominal,101,dr_learner,0.5,0.9583333333333334,0.5,0.16666666666666666,0.6483271542125701,0.7742165242165242
disturbance,nominal,101,dr_learner,0.75,0.9375,0.75,0.1111111111111111,0.6483271542125701,0.7742165242165242
disturbance,nominal,101,reversibility_proxy,0.1,0.8958333333333334,0.10416666666666667,0.2,0.6258620391405433,0.863880974992086
